epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.286,1.68116,3.11795,1.46867,0.63463,0.23261,0.32682,0.15747,1.36401,2.91671,1.18877,0.00030009,0.00030009,0.00030009
2,511.782,1.10002,1.48235,1.02115,0.97238,0.48699,0.61206,0.383,1.21019,2.71736,1.07327,0.000602303,0.000602303,0.000602303
3,755.999,1.06417,1.16819,1.01444,0.94963,0.58911,0.87404,0.59725,1.06208,2.34452,1.0061,0.000892068,0.000892068,0.000892068
4,940.204,1.00784,1.05434,1.00217,0.77529,0.72711,0.9166,0.62916,1.0593,1.75268,1.01409,0.00116938,0.00116938,0.00116938
5,1155.34,1.03748,0.99616,0.9966,0.78933,0.78687,0.89313,0.57973,1.13928,1.77133,1.02255,0.00131582,0.00131582,0.00131582
6,1341.87,0.96624,0.92355,0.97834,0.9229,0.87486,0.94202,0.6606,1.06187,1.25347,1.04814,0.00128753,0.00128753,0.00128753
7,1497.08,0.97268,0.85592,0.97952,0.89829,0.81673,0.94306,0.65152,1.04651,1.06904,0.9941,0.00125923,0.00125923,0.00125923
8,1643.65,0.97647,0.85416,0.98528,0.87576,0.87584,0.95191,0.69371,0.97006,1.03971,0.99315,0.00123094,0.00123094,0.00123094
9,1790.95,0.9428,0.80139,0.9748,0.92604,0.89353,0.96818,0.71479,0.90892,0.8509,0.94553,0.00120265,0.00120265,0.00120265
10,1952.05,0.92746,0.74298,0.96646,0.91033,0.84457,0.96625,0.63201,1.15754,0.92771,1.01712,0.00117435,0.00117435,0.00117435
11,2145.44,0.94293,0.72903,0.97072,0.93356,0.87247,0.96895,0.67533,1.00322,0.84325,0.95195,0.00114606,0.00114606,0.00114606
12,2336.41,0.90172,0.68088,0.96365,0.91421,0.95746,0.97303,0.73058,0.85408,0.66782,0.92175,0.00111776,0.00111776,0.00111776
13,2497.38,0.92695,0.67688,0.9669,0.8001,0.87383,0.95287,0.67007,1.0153,0.93204,0.93966,0.00108947,0.00108947,0.00108947
14,2644.51,0.88448,0.67383,0.95579,0.95324,0.95877,0.98673,0.72853,0.89209,0.62369,0.9209,0.00106118,0.00106118,0.00106118
15,2793.07,0.88414,0.64096,0.95628,0.9588,0.9574,0.98478,0.75415,0.83197,0.57951,0.91105,0.00103288,0.00103288,0.00103288
16,2940.66,0.84259,0.62982,0.94546,0.96782,0.94282,0.97977,0.74415,0.85524,0.5905,0.93092,0.00100459,0.00100459,0.00100459
17,3087.87,0.84861,0.62128,0.94116,0.95472,0.95954,0.98699,0.74405,0.88696,0.56038,0.90681,0.000976293,0.000976293,0.000976293
18,3265.47,0.85706,0.60392,0.95002,0.934,0.97791,0.98536,0.755,0.84051,0.55725,0.89834,0.000947999,0.000947999,0.000947999
19,3458.9,0.8327,0.579,0.94151,0.96736,0.97748,0.98908,0.77205,0.81118,0.50397,0.88857,0.000919704,0.000919704,0.000919704
20,3648.29,0.82972,0.58426,0.94183,0.95929,0.95231,0.98342,0.74591,0.87168,0.55541,0.90736,0.00089141,0.00089141,0.00089141
21,3802.9,0.84678,0.57083,0.94564,0.97092,0.9553,0.98486,0.76984,0.81317,0.52635,0.89193,0.000863116,0.000863116,0.000863116
22,3958.08,0.84798,0.57169,0.94446,0.99172,0.95992,0.99124,0.74444,0.87434,0.51124,0.92151,0.000834822,0.000834822,0.000834822
23,4173.33,0.82959,0.56481,0.93566,0.9735,0.96623,0.98871,0.73893,0.92017,0.53326,0.9092,0.000806528,0.000806528,0.000806528
24,4364.16,0.84498,0.55468,0.94153,0.98384,0.96954,0.98936,0.76614,0.81787,0.47692,0.88688,0.000778233,0.000778233,0.000778233
